,istart,iend,MSE_FinalFunc,MSEtrenda,MSEtrendb,MSEtrendc,MSEtrendd,MSEtrende,MAD_FinalFunc,MADtrenda,MADtrendb,MADtrendc,MADtrendd,MADtrende,MAPE_FinalFunc,MAPEtrenda,MAPEtrendb,MAPEtrendc,MAPEtrendd,MAPEtrende,OverFittedFinalFunc,OverFittedMSE
0,1,5,Poly4,-0.024166666666666007,0.33999999999999214,-1.720833333333302,3.714999999999952,21.880000000000024,Poly4,-0.024166666666666007,0.33999999999999214,-1.720833333333302,3.714999999999952,21.880000000000024,Poly4,-0.024166666666666007,0.33999999999999214,-1.720833333333302,3.714999999999952,21.880000000000024,Poly4,1.5768999999997158
1,2,6,Poly4,-0.029166666666666195,0.2933333333333277,-1.020833333333311,1.4466666666666335,24.070000000000018,Poly4,-0.029166666666666195,0.2933333333333277,-1.020833333333311,1.4466666666666335,24.070000000000018,Poly4,-0.029166666666666195,0.2933333333333277,-1.020833333333311,1.4466666666666335,24.070000000000018,Poly4,76.52499999999863
2,3,7,Poly4,0.04791666666666757,-0.5941666666666771,2.3820833333333753,-3.6858333333334024,26.61000000000004,Poly4,0.04791666666666757,-0.5941666666666771,2.3820833333333753,-3.6858333333334024,26.61000000000004,Poly4,0.04791666666666757,-0.5941666666666771,2.3820833333333753,-3.6858333333334024,26.61000000000004,Poly4,30.41090000000253
3,4,8,Poly4,0.01875000000000011,-0.11083333333333495,-0.13374999999999182,0.945833333333316,24.060000000000013,Poly4,0.01875000000000011,-0.11083333333333495,-0.13374999999999182,0.945833333333316,24.060000000000013,Poly4,0.01875000000000011,-0.11083333333333495,-0.13374999999999182,0.945833333333316,24.060000000000013,Poly4,72.10850000000008
4,5,9,Poly4,-0.06333333333333406,0.7850000000000092,-3.2266666666667074,4.5250000000000705,22.80999999999996,Poly4,-0.06333333333333406,0.7850000000000092,-3.2266666666667074,4.5250000000000705,22.80999999999996,Poly4,-0.06333333333333406,0.7850000000000092,-3.2266666666667074,4.5250000000000705,22.80999999999996,Poly4,88.83220000000208
5,6,10,Poly4,0.002916666666666621,-0.13083333333333258,1.067083333333329,-3.139166666666656,26.41999999999999,Poly4,0.002916666666666621,-0.13083333333333258,1.067083333333329,-3.139166666666656,26.41999999999999,Poly4,0.002916666666666621,-0.13083333333333258,1.067083333333329,-3.139166666666656,26.41999999999999,Poly4,18.77000000000004
6,7,11,Poly4,0.05874999999999982,-0.6774999999999977,2.64624999999999,-4.177499999999986,25.559999999999995,Poly4,0.05874999999999982,-0.6774999999999977,2.64624999999999,-4.177499999999986,25.559999999999995,Poly4,0.05874999999999982,-0.6774999999999977,2.64624999999999,-4.177499999999986,25.559999999999995,Poly4,144.24929999999964
7,8,12,Poly4,-0.04874999999999918,0.6324999999999898,-2.7962499999999584,4.692499999999936,20.83000000000003,Poly4,-0.04874999999999918,0.6324999999999898,-2.7962499999999584,4.692499999999936,20.83000000000003,Poly4,-0.04874999999999918,0.6324999999999898,-2.7962499999999584,4.692499999999936,20.83000000000003,Poly4,41.9457999999987
8,9,13,Poly3,0.0,-0.04999999999999997,0.5149999999999991,-1.6349999999999958,24.479999999999993,Poly4,-2.177369395894857e-12,-0.04999999997387148,0.5149999998920636,-1.6349999998226958,24.479999999905935,Poly3,0.0,-0.04999999999999997,0.5149999999999991,-1.6349999999999958,24.479999999999993,Poly4,3.0928000014673644
9,10,14,Poly4,0.021666666666667493,-0.26666666666667677,1.1233333333333761,-1.8383333333334062,23.83000000000004,Poly4,0.021666666666667493,-0.26666666666667677,1.1233333333333761,-1.8383333333334062,23.83000000000004,Poly4,0.021666666666667493,-0.26666666666667677,1.1233333333333761,-1.8383333333334062,23.83000000000004,Poly4,16.84640000000122
10,11,15,Poly4,-0.01666666666666631,0.2033333333333291,-0.8883333333333161,1.611666666666639,21.950000000000014,Poly4,-0.01666666666666631,0.2033333333333291,-0.8883333333333161,1.611666666666639,21.950000000000014,Poly4,-0.01666666666666631,0.2033333333333291,-0.8883333333333161,1.611666666666639,21.950000000000014,Poly4,10.536099999999577
11,12,16,Poly4,0.008333333333333073,-0.11333333333333045,0.4966666666666562,-0.8716666666666526,23.459999999999994,Poly4,0.008333333333333073,-0.11333333333333045,0.4966666666666562,-0.8716666666666526,23.459999999999994,Poly4,0.008333333333333073,-0.11333333333333045,0.4966666666666562,-0.8716666666666526,23.459999999999994,Poly4,0.06850000000002752
12,13,17,Poly4,0.016250000000001274,-0.1591666666666816,0.4837500000000599,-0.580833333333428,23.170000000000048,Poly4,0.016250000000001274,-0.1591666666666816,0.4837500000000599,-0.580833333333428,23.170000000000048,Poly4,0.016250000000001274,-0.1591666666666816,0.4837500000000599,-0.580833333333428,23.170000000000048,Poly4,15.032900000002062
13,14,18,Poly4,-0.015833333333334396,0.22666666666667962,-1.0191666666667203,1.5783333333334206,22.159999999999954,Poly4,-0.015833333333334396,0.22666666666667962,-1.0191666666667203,1.5783333333334206,22.159999999999954,Poly4,-0.015833333333334396,0.22666666666667962,-1.0191666666667203,1.5783333333334206,22.159999999999954,Poly4,0.08090000000010303
14,15,19,Poly4,-0.013749999999999714,0.14249999999999563,-0.3612499999999784,0.05249999999996036,22.98000000000002,Poly4,-0.013749999999999714,0.14249999999999563,-0.3612499999999784,0.05249999999996036,22.98000000000002,Poly4,-0.013749999999999714,0.14249999999999563,-0.3612499999999784,0.05249999999996036,22.98000000000002,Poly4,1.9609000000000367
15,16,20,Poly4,-0.01249999999999995,0.07499999999999982,0.027499999999998324,-0.3599999999999913,22.82999999999999,Poly4,-0.01249999999999995,0.07499999999999982,0.027499999999998324,-0.3599999999999913,22.82999999999999,Poly4,-0.01249999999999995,0.07499999999999982,0.027499999999998324,-0.3599999999999913,22.82999999999999,Poly4,29.440899999999694
16,17,21,Poly4,0.03958333333333168,-0.4958333333333128,2.0004166666665797,-2.734166666666522,23.809999999999924,Poly4,0.03958333333333168,-0.4958333333333128,2.0004166666665797,-2.734166666666522,23.809999999999924,Poly4,0.03958333333333168,-0.4958333333333128,2.0004166666665797,-2.734166666666522,23.809999999999924,Poly4,25.641799999997158
