,istart,iend,Poly2Residual0,Poly2Residual1,Poly2Residual2,Poly2Residual3,Poly2Residual4,Poly3Residual0,Poly3Residual1,Poly3Residual2,Poly3Residual3,Poly3Residual4,Poly4Residual0,Poly4Residual1,Poly4Residual2,Poly4Residual3,Poly4Residual4
0,1,5,-0.068285714,0.153142857,-0.049714286,-0.086857143,0.051714286,-0.008285714,0.033142857,-0.049714286,0.033142857,-0.008285714,-3.55E-15,-3.55E-15,-3.55E-15,1.42E-14,-7.11E-15
1,2,6,0.058000014,-0.096000003,-0.06000001,0.175999993,-0.077999993,-0.01,0.04,-0.06,0.040000001,-0.009999999,3.55E-15,3.55E-15,7.11E-15,1.42E-14,2.84E-14
2,3,7,0.039428571,-0.111714286,0.098571429,-0.019714286,-0.006571428,0.016428572,-0.065714285,0.098571429,-0.065714285,0.016428573,1.07E-14,0,1.42E-14,1.42E-13,3.20E-14
3,4,8,-0.130571429,0.248285714,0.038571429,-0.299714286,0.143428572,0.006428572,-0.025714285,0.038571429,-0.025714284,0.006428573,-7.11E-15,-1.42E-14,1.42E-14,1.78E-14,-1.78E-14
4,5,9,-0.051714286,0.146857143,-0.130285714,0.026857143,0.008285714,-0.021714285,0.086857144,-0.130285713,0.086857145,-0.021714283,-1.85E-13,-2.84E-13,-2.24E-13,-4.30E-13,-6.57E-13
5,6,10,0.116,-0.234,0.006,0.226,-0.114,0.001,-0.004,0.006,-0.004,0.001,-7.11E-14,-3.91E-14,3.91E-14,1.07E-14,-1.78E-14
6,7,11,-0.012857143,-0.014571428,0.120857143,-0.146571428,0.053142857,0.020142858,-0.080571427,0.120857145,-0.080571425,0.020142861,-1.95E-13,6.22E-13,-6.04E-14,-4.58E-13,-6.96E-13
7,8,12,-0.073714286,0.180857143,-0.100285714,-0.047142857,0.040285715,-0.016714284,0.066857145,-0.100285711,0.066857147,-0.016714281,-6.04E-14,3.94E-13,-2.31E-13,-9.24E-13,-8.14E-13
8,9,13,0.06,-0.12,2.93E-10,0.12,-0.06,3.91E-14,1.07E-14,0,2.49E-14,-2.13E-14,5.08E-13,-2.11E-12,3.20E-12,-2.12E-12,5.33E-13
9,10,14,0.015428572,-0.045714285,0.044571429,-0.013714285,-0.000571428,0.007428575,-0.029714282,0.044571434,-0.029714279,0.007428579,4.51E-13,2.13E-13,-1.31E-13,9.59E-13,5.04E-13
10,11,15,-0.009714285,0.030857143,-0.034285714,0.014857143,-0.001714285,-0.005714282,0.022857148,-0.034285708,0.022857151,-0.005714276,-4.69E-13,-8.14E-13,-6.32E-13,-8.60E-13,-7.50E-13
11,12,16,0.018857143,-0.043428571,0.017142858,0.020571429,-0.013142857,0.002857148,-0.011428565,0.017142865,-0.011428562,0.002857154,-7.46E-14,1.07E-13,3.34E-13,-1.07E-14,-2.31E-13
12,13,17,-0.037428571,0.063714286,0.033428572,-0.108285714,0.048571429,0.005571435,-0.022285706,0.033428581,-0.022285703,0.005571442,-6.39E-14,-5.19E-13,4.62E-14,7.35E-13,7.92E-13
13,14,18,-0.049428571,0.109714286,-0.032571428,-0.066285714,0.038571429,-0.005428564,0.021714295,-0.032571417,0.021714299,-0.005428556,3.91E-13,5.01E-13,2.10E-12,7.92E-13,4.65E-13
14,15,19,0.022285715,-0.035142857,-0.028285714,0.072857144,-0.031714285,-0.004714276,0.018857154,-0.028285701,0.018857159,-0.004714267,5.01E-13,7.35E-13,1.70E-12,4.65E-13,3.91E-13
15,16,20,0.085714313,-0.162857143,-0.0257143,0.197142844,-0.094285712,-0.004285703,0.017142871,-0.02571427,0.017142875,-0.004285693,-1.77E-12,-1.25E-12,1.15E-12,1.63E-13,-1.11E-12
16,17,21,0.038571429,-0.104285714,0.081428572,-0.004285713,-0.01142857,0.013571442,-0.054285699,0.08142859,-0.054285693,0.013571453,1.02E-12,5.24E-12,-2.91E-13,4.80E-12,1.46E-13
17,18,22,-0.068285714,0.137142858,-0.001714285,-0.134857142,0.067714287,-0.000285699,0.001142875,-0.001714265,0.001142881,-0.000285687,-4.44E-13,-6.39E-14,2.56E-13,-3.09E-13,1.35E-13
18,19,23,-0.053999999,0.112000001,-0.011999999,-0.095999999,0.050000001,-0.001999982,0.008000021,-0.011999976,0.008000028,-0.001999969,-5.19E-13,-8.81E-13,-8.17E-14,-2.59E-12,-1.64E-12
19,20,24,0.07857143,-0.118285713,-0.116571427,0.273714287,-0.11742857,-0.01942855,0.07771431,-0.116571401,0.077714317,-0.019428536,-4.29E-12,-8.95E-12,-2.87E-11,6.77E-12,-1.33E-11
20,21,25,0.084857094,-0.219428548,0.149142905,0.020571453,-0.035142905,0.024857167,-0.099428544,0.149142889,-0.099428536,0.024857183,2.20E-11,1.67E-11,-3.51E-11,1.03E-11,2.95E-11
21,22,26,-0.232285713,0.425142858,0.118285716,-0.582857141,0.271714287,0.019714313,-0.078857111,0.11828575,-0.078857103,0.01971433,-8.73E-12,4.95E-12,-1.51E-11,-3.20E-12,7.28E-12
22,23,27,-0.028285713,0.177142859,-0.361714284,0.305142859,-0.092285713,-0.060285683,0.241142893,-0.361714246,0.241142902,-0.060285665,4.13E-11,2.85E-11,3.32E-11,1.46E-11,4.95E-11
23,24,28,0.256000001,-0.577999999,0.198000002,0.314000002,-0.189999998,0.033000035,-0.13199996,0.198000045,-0.13199995,0.033000055,-2.97E-11,6.23E-11,1.46E-11,4.95E-11,-1.57E-11
