,istart,iend,MSE_FinalFunc,optimalMSE,MAD_FinalFunc,optimalMAD,MAPE_FinalFunc,optimalMAPE,ErrorPoly2,ErrorPoly3,ErrorPoly4
0,0,48,Poly4,0.22487470162776366,Poly4,0.008300662574661319,Poly4,0.010188628914668972,0,0,0
1,1,49,Poly4,0.2243649775411684,Poly4,0.0082762567929781,Poly4,0.010175098081935471,0,0,0
2,2,50,Poly4,0.2318353428301413,Poly4,0.007735660906165728,Poly4,0.010591863363230886,0,0,0
3,3,51,Poly4,0.26290979212249355,Poly4,0.00772237186746048,Poly4,0.012102573102501162,0,0,0
4,4,52,Poly4,0.27421411819022,Poly4,0.007940986395188865,Poly4,0.012653776797728543,0,0,0
5,5,53,Poly4,0.2778041814460916,Poly4,0.008233588088270662,Poly4,0.012839746543015297,0,0,0
6,6,54,Poly4,0.2730800771278554,Poly4,0.008041610443352604,Poly4,0.012679907979100243,0,0,0
7,7,55,Poly4,0.27295690162057007,Poly4,0.007458381859481166,Poly4,0.012685913954916098,0,0,0
8,8,56,Poly4,0.2659524946635189,Poly4,0.007148910795817546,Poly4,0.012342281337311106,0,0,0
9,9,57,Poly4,0.25899167837869,Poly4,0.006855460370099706,Poly4,0.012038149815377331,0,0,0
10,10,58,Poly4,0.25358147134251047,Poly4,0.006273145409696756,Poly4,0.011804275755125916,0,0,0
11,11,59,Poly4,0.23623347773221323,Poly4,0.006202455573872296,Poly4,0.011036847066379767,0,0,0
12,12,60,Poly4,0.2251475691511517,Poly4,0.006156444821176169,Poly4,0.010622992356443822,0,0,0
13,13,61,Poly4,0.22317191196304842,Poly4,0.006139656716806755,Poly4,0.010647948179643622,0,0,0
14,14,62,Poly4,0.2436751348588069,Poly4,0.006134584491234882,Poly4,0.0119371461237062,0,0,0
15,15,63,Poly4,0.26036589439318947,Poly4,0.006238504457086621,Poly4,0.012931549771588911,0,0,0
16,16,64,Poly4,0.2833611707064067,Poly4,0.006313044389124437,Poly4,0.014271079685703698,0,0,0
17,17,65,Poly4,0.29359899718463156,Poly4,0.006309647766637548,Poly4,0.014905305225089364,0,0,0
18,18,66,Poly4,0.3008570213089146,Poly4,0.006066404844506775,Poly4,0.015307524530711153,0,0,0
