,istart,iend,MSE_FinalFunc,MSEtrenda,MSEtrendb,MSEtrendc,MSEtrendd,MSEtrende,MAD_FinalFunc,MADtrenda,MADtrendb,MADtrendc,MADtrendd,MADtrende,MAPE_FinalFunc,MAPEtrenda,MAPEtrendb,MAPEtrendc,MAPEtrendd,MAPEtrende
0,0,48,Poly4,5.359161963073638e-06,-0.00047455207295769516,0.012850955758127086,-0.2380482690980698,25.085518705393895,Poly4,5.359161963073638e-06,-0.00047455207295769516,0.012850955758127086,-0.2380482690980698,25.085518705393895,Poly4,5.359161963073638e-06,-0.00047455207295769516,0.012850955758127086,-0.2380482690980698,25.085518705393895
1,1,49,Poly4,5.561392953325474e-06,-0.0005177762247684382,0.015288010297118747,-0.28563477657434916,25.348928296436448,Poly4,5.561392953325474e-06,-0.0005177762247684382,0.015288010297118747,-0.28563477657434916,25.348928296436448,Poly4,5.561392953325474e-06,-0.0005177762247684382,0.015288010297118747,-0.28563477657434916,25.348928296436448
2,2,50,Poly4,7.435181719138285e-06,-0.0007367348873568446,0.024053310000384603,-0.42316934182939386,26.02071419045769,Poly4,7.435181719138285e-06,-0.0007367348873568446,0.024053310000384603,-0.42316934182939386,26.02071419045769,Poly4,7.435181719138285e-06,-0.0007367348873568446,0.024053310000384603,-0.42316934182939386,26.02071419045769
3,3,51,Poly4,8.267746426756833e-06,-0.0008314722638715,0.02775960425727113,-0.4805296434226398,26.30348896125951,Poly4,8.267746426756833e-06,-0.0008314722638715,0.02775960425727113,-0.4805296434226398,26.30348896125951,Poly4,8.267746426756833e-06,-0.0008314722638715,0.02775960425727113,-0.4805296434226398,26.30348896125951
4,4,52,Poly4,7.133774813892893e-06,-0.0007141521892548744,0.023707036393435417,-0.427344872617906,26.09240811953469,Poly4,7.133774813892893e-06,-0.0007141521892548744,0.023707036393435417,-0.427344872617906,26.09240811953469,Poly4,7.133774813892893e-06,-0.0007141521892548744,0.023707036393435417,-0.427344872617906,26.09240811953469
5,5,53,Poly4,4.504178311888357e-06,-0.0004105976806834408,0.011620793934546432,-0.23500104389581536,25.090097163325293,Poly4,4.504178311888357e-06,-0.0004105976806834408,0.011620793934546432,-0.23500104389581536,25.090097163325293,Poly4,4.504178311888357e-06,-0.0004105976806834408,0.011620793934546432,-0.23500104389581536,25.090097163325293
6,6,54,Poly4,-9.956695767115138e-08,0.0001548760011401908,-0.012589646220193195,0.18524234922794405,22.65605255493999,Poly4,-9.956695767115138e-08,0.0001548760011401908,-0.012589646220193195,0.18524234922794405,22.65605255493999,Poly4,-9.956695767115138e-08,0.0001548760011401908,-0.012589646220193195,0.18524234922794405,22.65605255493999
7,7,55,Poly4,-4.213967060024197e-06,0.0006829012471436641,-0.03635336646670131,0.622488748531103,19.939321679042763,Poly4,-4.213967060024197e-06,0.0006829012471436641,-0.03635336646670131,0.622488748531103,19.939321679042763,Poly4,-4.213967060024197e-06,0.0006829012471436641,-0.03635336646670131,0.622488748531103,19.939321679042763
8,8,56,Poly4,-6.253575401682291e-06,0.0009571872014143939,-0.0493574448113093,0.8763300095727999,18.25013085208852,Poly4,-6.253575401682291e-06,0.0009571872014143939,-0.0493574448113093,0.8763300095727999,18.25013085208852,Poly4,-6.253575401682291e-06,0.0009571872014143939,-0.0493574448113093,0.8763300095727999,18.25013085208852
9,9,57,Poly4,-8.581820953302439e-06,0.0012772310368016967,-0.06491680350014524,1.1893571136438557,16.08572882504289,Poly4,-8.581820953302439e-06,0.0012772310368016967,-0.06491680350014524,1.1893571136438557,16.08572882504289,Poly4,-8.581820953302439e-06,0.0012772310368016967,-0.06491680350014524,1.1893571136438557,16.08572882504289
10,10,58,Poly4,-1.0465009614514248e-05,0.0015565293274082028,-0.07962493420142577,1.511254497446097,13.653484112114597,Poly4,-1.0465009614514248e-05,0.0015565293274082028,-0.07962493420142577,1.511254497446097,13.653484112114597,Poly4,-1.0465009614514248e-05,0.0015565293274082028,-0.07962493420142577,1.511254497446097,13.653484112114597
11,11,59,Poly4,-1.0826383659049113e-05,0.0016228266688208186,-0.08380906443477801,1.6185004685062883,12.72103043902713,Poly4,-1.0826383659049113e-05,0.0016228266688208186,-0.08380906443477801,1.6185004685062883,12.72103043902713,Poly4,-1.0826383659049113e-05,0.0016228266688208186,-0.08380906443477801,1.6185004685062883,12.72103043902713
12,12,60,Poly4,-1.1203369616277088e-05,0.0016865153940356502,-0.08761931194550941,1.7132088742760048,11.906070497599258,Poly4,-1.1203369616277088e-05,0.0016865153940356502,-0.08761931194550941,1.7132088742760048,11.906070497599258,Poly4,-1.1203369616277088e-05,0.0016865153940356502,-0.08761931194550941,1.7132088742760048,11.906070497599258
13,13,61,Poly4,-1.1356028164095482e-05,0.0017213869737411406,-0.09019347474617347,1.7882865717693899,11.170933283092499,Poly4,-1.1356028164095482e-05,0.0017213869737411406,-0.09019347474617347,1.7882865717693899,11.170933283092499,Poly4,-1.1356028164095482e-05,0.0017213869737411406,-0.09019347474617347,1.7882865717693899,11.170933283092499
14,14,62,Poly4,-1.1873477004091982e-05,0.001802834485241241,-0.09479252725555211,1.8979015246981032,10.247833204395553,Poly4,-1.1873477004091982e-05,0.001802834485241241,-0.09479252725555211,1.8979015246981032,10.247833204395553,Poly4,-1.1873477004091982e-05,0.001802834485241241,-0.09479252725555211,1.8979015246981032,10.247833204395553
15,15,63,Poly4,-1.1287531654932492e-05,0.001719491400930662,-0.09063519826182645,1.8127642849975056,10.84426131208773,Poly4,-1.1287531654932492e-05,0.001719491400930662,-0.09063519826182645,1.8127642849975056,10.84426131208773,Poly4,-1.1287531654932492e-05,0.001719491400930662,-0.09063519826182645,1.8127642849975056,10.84426131208773
16,16,64,Poly4,-1.0046334877887522e-05,0.0015216091268304372,-0.07930235861519738,1.5379032877817025,13.21456340077851,Poly4,-1.0046334877887522e-05,0.0015216091268304372,-0.07930235861519738,1.5379032877817025,13.21456340077851,Poly4,-1.0046334877887522e-05,0.0015216091268304372,-0.07930235861519738,1.5379032877817025,13.21456340077851
