,istart,iend,MSE_FinalFunc,optimalMSE,MAD_FinalFunc,optimalMAD,MAPE_FinalFunc,optimalMAPE,ErrorPoly2,ErrorPoly3,ErrorPoly4
0,1,6,Poly4,0.009761904761904673,Poly4,3.8448420003908115e-07,Poly4,0.0003944862116008149,0,0,0
1,2,7,Poly4,0.0034689153439153076,Poly4,9.151153594180672e-05,Poly4,0.00014117597113698076,0,0,0
2,3,8,Poly4,0.015562169312168873,Poly4,1.3266835112374662e-05,Poly4,0.0006399457729686802,0,0,0
3,4,9,Poly4,0.009381613756613871,Poly4,0.00010758990919961545,Poly4,0.000398850224148447,0,0,0
4,5,10,Poly4,0.014186904761904756,Poly4,7.132898816146745e-05,Poly4,0.0005971930820244127,0,0,0
5,6,11,Poly4,0.014225661375662122,Poly4,5.101867100555359e-05,Poly4,0.0006143347157979563,0,0,0
6,7,12,Poly4,0.004745238095238435,Poly4,0.00019068060520211632,Poly4,0.00020465119639015067,0,0,0
7,8,13,Poly4,0.009053571428571548,Poly4,3.949767211260102e-05,Poly4,0.00039215225451532325,0,0,0
8,9,14,Poly4,0.0017883597883602911,Poly4,7.803482454739092e-06,Poly4,7.795242052014341e-05,0,0,0
9,10,15,Poly4,0.0006455026455027035,Poly4,2.440006862655088e-05,Poly4,2.8141631687536206e-05,0,0,0
10,11,16,Poly4,0.000476190476190556,Poly4,1.0388003065330468e-05,Poly4,2.075804696477688e-05,0,0,0
11,12,17,Poly4,0.002095899470899551,Poly4,1.0453388950432996e-06,Poly4,9.208234262426865e-05,0,0,0
12,13,18,Poly4,0.0003927248677246457,Poly4,1.7274166957308826e-05,Poly4,1.7293718707485268e-05,0,0,0
13,14,19,Poly4,0.0030022486772492128,Poly4,7.297937026421159e-08,Poly4,0.00013150413001657504,0,0,0
14,15,20,Poly4,0.0023630952380945948,Poly4,2.6050581453922228e-08,Poly4,0.00010304586620934233,0,0,0
15,16,21,Poly4,0.003548280423285895,Poly4,4.462089212468908e-05,Poly4,0.00015258364588650048,0,0,0
16,17,22,Poly4,0.005770502645503828,Poly4,2.6742680137684324e-05,Poly4,0.0002497626751769533,0,0,0
17,18,23,Poly4,0.00016190476190469126,Poly4,4.1265046779574053e-07,Poly4,7.0603357915838555e-06,0,0,0
18,19,24,Poly4,0.014377248677249273,Poly4,4.314148577050232e-05,Poly4,0.0006306404516961268,0,0,0
19,20,25,Poly4,0.00721534391534695,Poly4,0.0002811769589901199,Poly4,0.0003214642777318075,0,0,0
20,21,26,Poly4,0.0580285714285557,Poly4,3.871517607236821e-06,Poly4,0.0026505474298575897,0,0,0
21,22,27,Poly4,0.06875026455024699,Poly4,0.0009685761110097791,Poly4,0.003249725097572508,0,0,0
22,23,28,Poly4,0.04991653439150179,Poly4,0.0013371619946754298,Poly4,0.002351684471703061,0,0,0
23,24,29,Poly4,0.07866375661376654,Poly4,3.1377762761177016e-05,Poly4,0.0037770260484904696,0,0,0
24,25,30,Poly4,0.01428809523812915,Poly4,0.00041166053152619556,Poly4,0.0006951124688952853,0,0,0
25,26,31,Poly4,0.014574867724869928,Poly4,0.00040737382527641523,Poly4,0.0007025827443627699,0,0,0
26,27,32,Poly4,0.008800264550280082,Poly4,6.498021343902441e-05,Poly4,0.0004281660818267902,0,0,0
27,28,33,Poly4,0.014345238095258098,Poly4,4.630257563329254e-05,Poly4,0.0006923837424501052,0,0,0
28,29,34,Poly4,0.009578042328079244,Poly4,0.00035190307570593873,Poly4,0.00046097645405528874,0,0,0
29,30,35,Poly4,0.0156701058201134,Poly4,0.00020958036080231574,Poly4,0.0007578373174518444,0,0,0
30,31,36,Poly4,0.0018451058200895966,Poly4,1.458226572229648e-05,Poly4,8.95228166871491e-05,0,0,0
31,32,37,Poly4,0.009007010582013865,Poly4,5.656423121151641e-05,Poly4,0.00044802169962531515,0,0,0
32,33,38,Poly4,0.008114550264594294,Poly4,0.0003059671054327821,Poly4,0.0004063329926945409,0,0,0
33,34,39,Poly4,0.009336772486810568,Poly4,0.0004639218588160289,Poly4,0.0004684680653573422,0,0,0
34,35,40,Poly4,0.009707010582029612,Poly4,0.0004885142323366029,Poly4,0.0004886792798084508,0,0,0
35,36,41,Poly4,0.017190476190527198,Poly4,0.00017498370403090817,Poly4,0.0008693678903134294,0,0,0
36,37,42,Poly4,0.020001058201126288,Poly4,3.696748470012248e-05,Poly4,0.0010269735891063445,0,0,0
37,38,43,Poly4,0.005538756613775898,Poly4,0.0002864412220778949,Poly4,0.0002871217236994413,0,0,0
38,39,44,Poly4,0.005152645502687202,Poly4,0.0002451621827849119,Poly4,0.0002665055034727159,0,0,0
39,40,45,Poly4,0.0035082010582322292,Poly4,0.00015300427800063888,Poly4,0.0001807345270959838,0,0,0
40,41,46,Poly4,0.0250498677249692,Poly4,1.813377250142315e-06,Poly4,0.0013128007676976264,0,0,0
41,42,47,Poly4,0.019563095238292198,Poly4,0.00045960573494471585,Poly4,0.0010395665405661576,0,0,0
42,43,48,Poly4,0.020630952381111463,Poly4,0.00043917252689735885,Poly4,0.0010907469339289208,0,0,0
43,44,49,Poly4,0.004345238095243494,Poly4,6.5910726893403e-05,Poly4,0.00023043743976819018,0,0,0
44,45,50,Poly4,0.02112023809543205,Poly4,0.00019259527276337972,Poly4,0.0011022038999981899,0,0,0
45,46,51,Poly4,0.01802804232833915,Poly4,0.0007849632040980904,Poly4,0.0009376074925252657,0,0,0
46,47,52,Poly4,0.03959047619081988,Poly4,0.00033276749921780797,Poly4,0.0020456433814167534,0,0,0
47,48,53,Poly4,0.0277059523809482,Poly4,6.128280497133959e-05,Poly4,0.0014181383213422527,0,0,0
48,49,54,Poly4,0.0071272486773239505,Poly4,0.00032210640266448006,Poly4,0.000360276925592923,0,0,0
49,50,55,Poly4,0.004697619047697177,Poly4,0.00017639568562712084,Poly4,0.00023837117944443799,0,0,0
50,51,56,Poly4,0.0022309523810554173,Poly4,7.155829581420051e-05,Poly4,0.00011471893822127951,0,0,0
51,52,57,Poly4,0.010903835978955076,Poly4,2.9414036746986903e-06,Poly4,0.0005728413765735426,0,0,0
52,53,58,Poly4,0.00908835978859567,Poly4,0.00022674403426206622,Poly4,0.00048479161535492705,0,0,0
53,54,59,Poly4,0.007104761904954449,Poly4,0.00031823439500391497,Poly4,0.0003778733009314608,0,0,0
