,istart,iend,MSE_FinalFunc,optimalMSE,MAD_FinalFunc,optimalMAD,MAPE_FinalFunc,optimalMAPE,ErrorPoly2,ErrorPoly3,ErrorPoly4
0,1,6,Poly4,8.829233333331855,Poly2,inf,Poly2,inf,0,0,0
1,2,7,Poly4,10.034583333330882,Poly2,inf,Poly2,inf,0,0,0
2,3,8,Poly4,11.492666666666736,Poly3,inf,Poly2,inf,0,0,0
3,4,9,Poly4,11.156850000001228,Poly2,inf,Poly2,inf,0,0,0
4,5,10,Poly4,10.673516666669498,Poly3,inf,Poly2,inf,0,0,0
5,6,11,Poly4,10.949049999999573,Poly2,inf,Poly2,inf,0,0,0
6,7,12,Poly4,10.311983333340308,Poly2,inf,Poly2,inf,0,0,0
7,8,13,Poly4,9.59903333333023,Poly2,inf,Poly2,inf,0,0,0
8,9,14,Poly4,9.430100000000445,Poly2,inf,Poly2,inf,0,0,0
9,10,15,Poly4,9.301766666666689,Poly3,inf,Poly2,inf,0,0,0
10,11,16,Poly4,9.394583333331147,Poly2,inf,Poly2,inf,0,0,0
11,12,17,Poly4,9.748583333332839,Poly2,inf,Poly2,inf,0,0,0
12,13,18,Poly4,9.549166666667503,Poly3,inf,Poly2,inf,0,0,0
13,14,19,Poly4,8.802116666668857,Poly2,inf,Poly2,inf,0,0,0
14,15,20,Poly4,8.157766666667891,Poly2,inf,Poly2,inf,0,0,0
15,16,21,Poly4,8.578183333331696,Poly4,-12.107417302777563,Poly2,-12.107417582254316,0,0,0
16,17,22,Poly4,9.374849999996977,Poly4,-25.96209763070384,Poly2,-25.96209764704595,0,0,0
17,18,23,Poly4,9.92651666666564,Poly4,-36.203196204764716,Poly2,-36.203196218183066,0,0,0
18,19,24,Poly4,9.869516666668638,Poly3,80.82024889714704,Poly4,80.82024997489444,0,0,0
19,20,25,Poly4,11.235650000000291,Poly2,47.77277528073975,Poly4,47.77277599659366,0,0,0
20,21,26,Poly4,12.779066666664576,Poly2,22.13528030408905,Poly2,22.13527994574125,0,0,0
21,22,27,Poly4,11.103716666659338,Poly2,14.533017203973136,Poly4,14.533017283606346,0,0,0
22,23,28,Poly4,10.695900000002615,Poly4,-39.79577413466092,Poly2,-39.79577468472727,0,0,0
23,24,29,Poly4,11.395033333333402,Poly4,-36.063609326452436,Poly4,-36.06360931009722,0,0,0
24,25,30,Poly4,10.50611666666493,Poly2,23.15428631966809,Poly3,23.15428632534017,0,0,0
25,26,31,Poly4,10.092366666664963,Poly4,-36.23574011428847,Poly4,-36.23573990267417,0,0,0
26,27,32,Poly4,9.663950000003624,Poly2,27.741274488483118,Poly4,27.74127450974485,0,0,0
27,28,33,Poly4,8.718283333334362,Poly2,26.621277628079838,Poly3,26.621277622125934,0,0,0
28,29,34,Poly4,9.37129999999704,Poly2,3.358457557253535,Poly2,3.3584565751071858,0,0,0
29,30,35,Poly4,10.09316666663811,Poly4,-11.209000115055131,Poly4,-11.20900010547435,0,0,0
30,31,36,Poly4,10.393083333332628,Poly4,-27.189148774768984,Poly4,-27.189148750934237,0,0,0
31,32,37,Poly4,9.846033333335514,Poly4,-0.12008886751623275,Poly4,-0.12008885431878487,0,0,0
32,33,38,Poly4,10.129566666668543,Poly4,-16.141447872288087,Poly2,-16.141448009960882,0,0,0
33,34,39,Poly4,9.48343333334028,Poly2,18.53546108929162,Poly4,18.535461205391446,0,0,0
34,35,40,Poly4,10.163816666664541,Poly4,2.61081196269325,Poly4,2.610811965842467,0,0,0
35,36,41,Poly4,10.487483333332266,Poly4,-13.61093980402884,Poly2,-13.610939811762142,0,0,0
36,37,42,Poly4,9.734550000002306,Poly4,2.203682028348735,Poly3,2.2036820368854513,0,0,0
37,38,43,Poly4,9.533933333334124,Poly4,-209.06445084422742,Poly2,-209.06445090798363,0,0,0
38,39,44,Poly4,9.097483333334436,Poly4,-111.1498265056013,Poly3,-111.14982654617347,0,0,0
39,40,45,Poly4,9.543483333330691,Poly4,-74.96160131420366,Poly3,-74.96160130742987,0,0,0
40,41,46,Poly4,10.556683333330659,Poly4,-43.45280224457201,Poly3,-43.45280228773044,0,0,0
41,42,47,Poly4,9.705433333342564,Poly4,-7.847594456577618,Poly4,-7.847594452478321,0,0,0
42,43,48,Poly4,9.03416666667353,Poly2,11.184089546934706,Poly3,11.184089550406037,0,0,0
43,44,49,Poly4,8.777366666667975,Poly3,35.231911933848885,Poly3,35.23191193542763,0,0,0
44,45,50,Poly4,9.537816666663405,Poly2,10.947747655365967,Poly2,10.94774762669246,0,0,0
45,46,51,Poly4,8.560816666665554,Poly2,9.902497849066203,Poly4,9.902497853890319,0,0,0
46,47,52,Poly4,8.084483333335621,Poly3,11.080077641986657,Poly3,11.080077639745204,0,0,0
47,48,53,Poly4,9.053866666640786,Poly4,-7.641371907087938,Poly2,-7.641371907967365,0,0,0
48,49,54,Poly4,9.535616666664795,Poly4,-26.02945867194676,Poly2,-26.029458973452847,0,0,0
49,50,55,Poly4,10.317616666664229,Poly4,-27.93764792593383,Poly4,-27.93764792414675,0,0,0
50,51,56,Poly4,10.536616666673025,Poly4,-44.78757436829685,Poly2,-44.78757437068786,0,0,0
51,52,57,Poly4,9.997616666669671,Poly4,1.3922213115361568,Poly3,1.392221314026789,0,0,0
52,53,58,Poly4,10.256416666666054,Poly4,-8.71120626679128,Poly2,-8.711206276562242,0,0,0
53,54,59,Poly4,9.869016666666546,Poly2,inf,Poly2,inf,0,0,0
54,55,60,Poly4,9.573533333332708,Poly2,inf,Poly2,inf,0,0,0
55,56,61,Poly4,10.062333333308155,Poly2,inf,Poly2,inf,0,0,0
56,57,62,Poly4,10.156800000000215,Poly3,inf,Poly2,inf,0,0,0
57,58,63,Poly4,11.069549999998273,Poly2,inf,Poly2,inf,0,0,0
58,59,64,Poly4,10.678966666672089,Poly2,inf,Poly2,inf,0,0,0
59,60,65,Poly4,10.82045000000168,Poly3,inf,Poly2,inf,0,0,0
60,61,66,Poly4,10.184383333334184,Poly2,4.2131935425422755,Poly3,4.213193529115737,0,0,0
61,62,67,Poly4,9.703916666667368,Poly2,116.41355514459083,Poly3,116.4135551159347,0,0,0
62,63,68,Poly4,9.007333333308742,Poly2,97.08685113947672,Poly2,97.08685111964918,0,0,0
63,64,69,Poly4,8.448666666643348,Poly3,69.11141292836362,Poly3,69.11141292990025,0,0,0
64,65,70,Poly4,8.429333333334673,Poly3,89.745395420186,Poly3,89.74539539752978,0,0,0
65,66,71,Poly4,8.775583333332087,Poly4,-6.648796259536198,Poly3,-6.648797386770194,0,0,0
66,67,72,Poly4,9.455666666665197,Poly4,-28.20575649554969,Poly4,-28.205756407390705,0,0,0
67,68,73,Poly4,9.938333333332418,Poly4,-40.21132459240326,Poly4,-40.21132457578209,0,0,0
68,69,74,Poly4,9.42411666666882,Poly4,-11.208598172878146,Poly4,-11.20859816440531,0,0,0
69,70,75,Poly4,8.555166666669132,Poly3,3.3381152392595026,Poly3,3.338115237185933,0,0,0
70,71,76,Poly4,8.631083333333018,Poly4,-205.34270404060464,Poly2,-205.34270409616366,0,0,0
71,72,77,Poly4,9.137949999971413,Poly4,-149.37598281089467,Poly3,-149.37598290556795,0,0,0
72,73,78,Poly4,8.649866666668151,Poly4,-75.87826054988147,Poly4,-75.87826043264586,0,0,0
73,74,79,Poly4,8.469083333334574,Poly4,-20.30177254768963,Poly3,-20.301772526904134,0,0,0
74,75,80,Poly4,8.98156666666721,Poly4,-29.276905740743633,Poly2,-29.27690575938936,0,0,0
75,76,81,Poly4,8.440249999999812,Poly4,-3.9093682933836518,Poly3,-3.9093683114405287,0,0,0
76,77,82,Poly4,8.656916666665394,Poly4,-212.66662054690042,Poly4,-212.66662049946174,0,0,0
77,78,83,Poly4,8.92566666666688,Poly4,-554.411446213067,Poly3,-554.4114462069889,0,0,0
78,79,84,Poly4,10.001666666665372,Poly4,-353.60573153567725,Poly3,-353.6057319228439,0,0,0
79,80,85,Poly4,9.832916666641957,Poly2,15.479585626394433,Poly3,15.47958553635931,0,0,0
80,81,86,Poly4,9.59750000000227,Poly3,92.20555545329385,Poly4,92.20555555510207,0,0,0
81,82,87,Poly4,9.393816666667503,Poly2,287.0270990717257,Poly3,287.02709876514433,0,0,0
82,83,88,Poly4,8.49548333333454,Poly3,185.05024684955092,Poly3,185.05024691391438,0,0,0
83,84,89,Poly4,8.037133333332951,Poly2,104.50777774301616,Poly4,104.50777777810389,0,0,0
84,85,90,Poly4,7.0685333333342575,Poly3,47.50888891561376,Poly2,47.50888888911677,0,0,0
85,86,91,Poly4,7.6685333333319825,Poly4,-194.9977778056657,Poly4,-194.99777777722383,0,0,0
86,87,92,Poly4,8.708533333330477,Poly4,-147.56444462255476,Poly4,-147.56444444445773,0,0,0
87,88,93,Poly4,8.643466666641578,Poly4,-73.3511112225234,Poly4,-73.35111111128795,0,0,0
88,89,94,Poly4,8.371216666668536,Poly4,-22.733183002917954,Poly3,-22.733183183435944,0,0,0
89,90,95,Poly4,8.493300000002217,Poly3,24.64609617629794,Poly3,24.64609609600063,0,0,0
90,91,96,Poly4,8.84145000000521,Poly4,-5.956305431210893,Poly4,-5.956305422940493,0,0,0
91,92,97,Poly4,9.04179999999792,Poly4,-91.61225048949251,Poly4,-91.612250485473,0,0,0
92,93,98,Poly4,8.694950000001217,Poly4,-49.480705169908845,Poly3,-49.48070522401065,0,0,0
93,94,99,Poly4,8.692350000001257,Poly3,5.117572804472242,Poly3,5.117572786478656,0,0,0
94,95,100,Poly4,10.274933333331592,Poly4,2.299317007689863,Poly4,2.2993171311136145,0,0,0
95,96,101,Poly4,10.8582666666721,Poly4,-6.497756449648274,Poly4,-6.497756425965396,0,0,0
96,97,102,Poly4,9.771783333336224,Poly4,1.5770784942600151,Poly4,1.5770785086618428,0,0,0
97,98,103,Poly4,10.340050000002181,Poly4,-13.226213323044481,Poly4,-13.226213258263764,0,0,0
98,99,104,Poly4,9.680633333334494,Poly3,12.48247447842227,Poly3,12.482474463138017,0,0,0
99,100,105,Poly4,10.374299999996635,Poly4,-0.5122840820115139,Poly2,-0.5122841143259164,0,0,0
100,101,106,Poly4,10.407716666665236,Poly4,-20.918044901901304,Poly4,-20.918044887723088,0,0,0
101,102,107,Poly4,10.893966666667774,Poly4,-26.474056536938505,Poly4,-26.47405651872154,0,0,0
102,103,108,Poly4,11.309116666666156,Poly4,-26.598540363718183,Poly3,-26.59854037866867,0,0,0
103,104,109,Poly4,11.367516666667925,Poly4,-29.190449142515263,Poly4,-29.190448825453775,0,0,0
104,105,110,Poly4,10.782933333333718,Poly4,-77.72434897118923,Poly2,-77.7243501698206,0,0,0
105,106,111,Poly4,10.750600000000647,Poly4,-62.39297879165016,Poly3,-62.39298068285842,0,0,0
106,107,112,Poly4,10.020116666667251,Poly3,4.4238679304864945,Poly2,4.423867924277654,0,0,0
107,108,113,Poly4,9.537049999999608,Poly2,110.95749319686968,Poly4,110.95749999965278,0,0,0
