,istart,iend,MSE_FinalFunc,MSEtrenda,MSEtrendb,MSEtrendc,MSEtrendd,MSEtrende,MAD_FinalFunc,MADtrenda,MADtrendb,MADtrendc,MADtrendd,MADtrende,MAPE_FinalFunc,MAPEtrenda,MAPEtrendb,MAPEtrendc,MAPEtrendd,MAPEtrende
0,1,6,Poly4,-2.1809221095736575e-12,-2.185585046277083e-12,-2.1445067943659524e-12,1.0000000002237213,4.480830915851215e-24,Poly2,0.0,0.0,-3.2697451607550656e-12,1.0000000000133762,1.61558711664813e-27,Poly2,0.0,0.0,-3.2697451607550656e-12,1.0000000000133762,1.61558711664813e-27
1,2,7,Poly4,-2.170930102352031e-12,-2.3427926265640053e-12,-1.241673430740775e-12,1.0000000006324197,-1.0000000011992973,Poly2,0.0,0.0,-2.1824764218081327e-12,1.0000000000152771,-1.0000000000203697,Poly2,0.0,0.0,-2.1824764218081327e-12,1.0000000000152771,-1.0000000000203697
2,3,8,Poly4,-2.176259172870232e-12,-2.261080211951594e-12,-1.756076856570874e-12,1.0000000011875378,-2.000000003125543,Poly3,0.0,-2.1820323325982827e-12,-2.161826273550105e-12,1.000000000163034,-2.0000000003988156,Poly2,0.0,0.0,-2.1817392997581587e-12,1.0000000000194573,-2.0000000000366738
3,4,9,Poly4,-2.1544988015875788e-12,-2.7786661860318418e-12,2.7003954627957683e-12,1.0000000019096755,-3.000000006852982,Poly2,0.0,0.0,-2.1815882433884326e-12,1.0000000000239975,-3.00000000005963,Poly2,0.0,0.0,-2.1815882433884326e-12,1.0000000000239975,-3.00000000005963
4,5,10,Poly4,-2.1034285424548216e-12,-4.25748325483255e-12,1.8267165557972476e-11,1.0000000029104594,-4.000000012990742,Poly3,0.0,-2.1751489498456067e-12,-2.3032686868873498e-12,1.0000000003166272,-4.000000001232984,Poly2,0.0,0.0,-2.184474823252458e-12,1.0000000000283982,-4.000000000085922
5,6,11,Poly4,-2.1647128534141302e-12,-2.6141311337823936e-12,1.8178791805212313e-12,1.0000000044079744,-5.000000022880918,Poly2,0.0,0.0,-2.1844096481570555e-12,1.000000000033072,-5.0000000001193845,Poly2,0.0,0.0,-2.1844096481570555e-12,1.000000000033072,-5.0000000001193845
6,7,12,Poly4,-2.313038649504051e-12,2.35844677121122e-12,-6.019362785991689e-11,1.0000000065793162,-6.0000000379906,Poly2,0.0,0.0,-2.1841609973752166e-12,1.0000000000373315,-6.000000000151966,Poly2,0.0,0.0,-2.1841609973752166e-12,1.0000000000373315,-6.000000000151966
7,8,13,Poly4,-2.3054412583881323e-12,-2.952323855805152e-13,-2.7712276917668532e-11,1.0000000089860148,-7.000000060087641,Poly2,0.0,0.0,-2.1768126404808514e-12,1.0000000000435474,-7.000000000213381,Poly2,0.0,0.0,-2.1768126404808514e-12,1.0000000000435474,-7.000000000213381
8,9,14,Poly4,-2.439604074311319e-12,8.656741989909733e-12,-1.7131918106372268e-10,1.0000000011649586,-8.000000003009264,Poly2,0.0,0.0,-2.1866952693017083e-12,1.0000000000459206,-8.000000000234706,Poly2,0.0,0.0,-2.1866952693017083e-12,1.0000000000459206,-8.000000000234706
9,10,15,Poly4,-2.525757381022231e-12,1.4725554109418226e-11,-3.109128510203618e-10,1.0000000024861777,-9.000000007474721,Poly3,0.0,-2.163602630389505e-12,-2.8490543257930767e-12,1.0000000000083635,-9.00000000005644,Poly2,0.0,0.0,-2.1804780041179802e-12,1.000000000050151,-9.000000000282009
10,11,16,Poly4,-2.1566076874883455e-12,-4.765521310901022e-12,5.2222781654620576e-11,1.0000000184773263,-10.000000170853859,Poly2,0.0,0.0,-2.1782009400694434e-12,1.0000000000566402,-10.000000000363803,Poly2,0.0,0.0,-2.1782009400694434e-12,1.0000000000566402,-10.000000000363803
11,12,17,Poly4,6.004966824796896e-12,-1.22028814437905e-10,-5.022731970529063e-10,1.0000000219415046,-11.000000107842908,Poly2,0.0,0.0,-2.1735946376111315e-12,1.000000000058687,-11.000000000389797,Poly2,0.0,0.0,-2.1735946376111315e-12,1.000000000058687,-11.000000000389797
12,13,18,Poly4,7.32153766495742e-12,-1.7043831150456197e-10,-6.705050987748027e-10,1.0000000384544712,-12.000000222419693,Poly3,0.0,-2.1043167208745217e-12,-5.619504861442692e-12,1.00000000150089,-12.000000013882756,Poly2,0.0,0.0,-2.1862511800918583e-12,1.0000000000634008,-12.000000000453275
13,14,19,Poly4,-2.5508484213787597e-12,2.2356116957666927e-11,-6.097748972422323e-10,1.000000006654304,-13.000000027226983,Poly2,0.0,0.0,-2.1740762340388544e-12,1.000000000067219,-13.000000000512898,Poly2,0.0,0.0,-2.1740762340388544e-12,1.000000000067219,-13.000000000512898
14,15,20,Poly4,-3.3012267740813047e-12,6.32243855797401e-11,-1.3990529238193539e-09,1.0000000555484232,-14.000000563847623,Poly2,0.0,0.0,-2.169375790117556e-12,1.0000000000715894,-14.000000000584286,Poly2,0.0,0.0,-2.169375790117556e-12,1.0000000000715894,-14.000000000584286
15,16,21,Poly4,-6.348587519800204e-12,3.2577416787729813e-10,-8.80774769671561e-09,1.0000001448197504,-15.00000097767029,Poly4,-6.348587519800204e-12,3.2577416787729813e-10,-8.80774769671561e-09,1.0000001448197504,-15.00000097767029,Poly2,0.0,0.0,-2.1949109196839345e-12,1.0000000000768219,-15.000000000665787
16,17,22,Poly4,-4.119562504804458e-12,1.6364013440575955e-10,-4.151265623916421e-09,1.0000000918458902,-16.000000817824407,Poly4,-4.119562504804458e-12,1.6364013440575955e-10,-4.151265623916421e-09,1.0000000918458902,-16.000000817824407,Poly2,0.0,0.0,-2.190470027585434e-12,1.000000000081047,-16.00000000074329
17,18,23,Poly4,-3.7565970876669824e-13,1.3325842085530451e-09,-7.650202535634449e-08,1.0000014681930431,-17.000009368059892,Poly4,-3.7565970876669824e-13,1.3325842085530451e-09,-7.650202535634449e-08,1.0000014681930431,-17.000009368059892,Poly2,0.0,0.0,-2.183364600227833e-12,1.0000000000851512,-17.00000000082386
18,19,24,Poly4,-3.706871673796189e-12,1.2761015219763847e-10,-5.240549500022742e-09,1.000000183880278,-18.00000199526437,Poly3,0.0,-2.008393451546908e-12,-1.3045786673160364e-11,1.0000000030771015,-18.000000039897223,Poly4,-3.706871673796189e-12,1.2761015219763847e-10,-5.240549500022742e-09,1.000000183880278,-18.00000199526437
19,20,25,Poly4,1.3625291714028688e-11,3.6998793225520546e-09,-2.756604729610977e-07,1.0000061566276903,-19.000044627292592,Poly2,0.0,0.0,-2.1807000649687325e-12,1.0000000000937705,-19.000000001001677,Poly4,1.3625291714028688e-11,3.6998793225520546e-09,-2.756604729610977e-07,1.0000061566276903,-19.000044627292592
20,21,26,Poly4,-2.068217882771376e-12,4.656734900536097e-11,-1.377952372452474e-09,1.0000000876756687,-20.000001259221513,Poly2,0.0,0.0,-2.1811441541785825e-12,1.0000000000981515,-20.000000001097842,Poly2,0.0,0.0,-2.1811441541785825e-12,1.0000000000981515,-20.000000001097842
