,istart,iend,Poly2Residual0,Poly2Residual1,Poly2Residual2,Poly2Residual3,Poly2Residual4,Poly3Residual0,Poly3Residual1,Poly3Residual2,Poly3Residual3,Poly3Residual4,Poly4Residual0,Poly4Residual1,Poly4Residual2,Poly4Residual3,Poly4Residual4
0,1,6,-1.61558711664813e-27,-1.2600000000101044,-1.4300000000136732,-3.000000000010701,-3.9800000000011897,2.1780325994969276e-12,-1.260000000051089,-1.4300000000869204,-3.0000000000922173,-3.980000000053888,-4.480830915851215e-24,-1.2600000002172083,-1.4300000003864848,-3.0000000004161977,-3.98000000016238
1,2,7,-0.25999999999272294,-0.43000000000145433,-2.0000000000058193,-2.9800000000058198,-3.950000000001457,-0.2599999999229492,-0.43000000000755967,-2.0000000000616387,-2.9800000000721054,-3.950000000025878,-0.25999999942736496,-0.4300000000070978,-2.0000000004476863,-2.980000000604818,-3.950000000282081
2,3,8,0.5700000000064862,-1.0000000000020624,-1.9800000000062479,-2.9500000000060718,-4.610000000001527,0.5700000000988514,-1.0000000000119154,-1.9800000000790816,-2.9500000000895574,-4.610000000030244,0.5700000008104005,-1.0000000001839395,-1.9800000008946799,-2.9500000011254506,-4.61000000062764
3,4,9,7.271960811294775e-12,-0.9800000000014548,-1.9500000000058209,-3.6100000000058166,-4.810000000001454,2.532862808379832e-10,-0.9799999999200115,-1.950000000036662,-3.610000000083551,-4.810000000047578,1.3491905370699442e-09,-0.9800000000995404,-1.9500000010690135,-3.610000001309862,-4.81000000052103
4,5,10,0.020000000007280857,-0.9500000000014595,-2.610000000005825,-3.8100000000058234,-4.100000000001458,0.020000000142537108,-0.9500000000206787,-2.610000000114028,-3.810000000124469,-4.100000000038949,0.020000001867585656,-0.9500000001714088,-2.6100000014839724,-3.810000001766915,-4.100000000666559
5,6,11,0.050000000008632035,-1.610000000000408,-2.8100000000050818,-3.10000000000539,-4.000000000001326,0.05000000016439277,-1.6100000000250034,-2.8100000001315157,-3.1000000001420185,-4.0000000000433795,0.05000000247530779,-1.6100000002622519,-2.810000001969856,-3.1000000022941245,-4.000000000829718
6,7,12,-0.6099999999933923,-1.8100000000023284,-2.1000000000069,-3.000000000007101,-4.440000000002931,-0.6099999998138665,-1.8100000000293957,-2.100000000148909,-3.000000000159349,-4.440000000047665,-0.6099999968300525,-1.810000000370465,-2.1000000025248573,-3.0000000028910234,-4.440000001011259
7,8,13,-0.8099999999847851,-1.099999999995683,-2.000000000002224,-3.4400000000044084,-4.010000000002247,-0.8099999997922493,-1.100000000033635,-2.0000000001661995,-3.4400000001767523,-4.010000000052106,-0.8099999958199309,-1.1000000004326465,-2.000000003200575,-3.4400000036516323,-4.010000001258418
8,9,14,-0.09999999999271125,-1.0000000000014566,-2.4400000000058277,-3.0100000000058316,-3.8800000000014556,-0.0999999997702794,-1.0000000000380194,-2.4400000001837743,-3.010000000194344,-3.8800000000565085,-0.09999998978561209,-0.9999999839030309,-2.439999975769103,-3.0099999648795404,-3.879999950671495
9,10,15,7.268852186825825e-12,-1.4400000000014508,-2.0100000000058174,-2.880000000005813,-4.050000000001454,1.7892087811333113e-09,-1.439999997578683,-2.0099999968110698,-2.879999995894952,-4.049999994817361,1.6119628298838506e-08,-1.4399999757637474,-2.009999964872879,-2.879999950659613,-4.0499999325152025
