,istart,iend,MSE_FinalFunc,optimalMSE,ErrorPoly2,ErrorPoly3,ErrorPoly4
0,1,5,Poly4,0.004805714285714375,0,0,0
1,2,6,Poly4,0.007000000000000413,0,0,0
2,3,7,Poly4,0.018892857142856982,0,0,0
3,4,8,Poly4,0.0028928571428577785,0,0,0
4,5,9,Poly4,0.03300571428571397,0,0,0
5,6,10,Poly4,7.000000000010756e-05,0,0,0
6,7,11,Poly4,0.028401428571427752,0,0,0
7,8,12,Poly4,0.01955571428571298,0,0,0
8,9,13,Poly3,2.7136815139602806e-27,0,0,0
9,10,14,Poly4,0.0038628571428570803,0,0,0
10,11,15,Poly4,0.002285714285714383,0,0,0
11,12,16,Poly4,0.0005714285714290568,0,0,0
12,13,17,Poly4,0.0021728571428561846,0,0,0
13,14,18,Poly4,0.00206285714285676,0,0,0
14,15,19,Poly4,0.0015557142857168258,0,0,0
15,16,20,Poly4,0.0012857142857194684,0,0,0
16,17,21,Poly4,0.01289285714285555,0,0,0
17,18,22,Poly4,5.71428571705803e-06,0,0,0
18,19,23,Poly4,0.0002800000000017507,0,0,0
19,20,24,Poly4,0.026422857142923566,0,0,0
20,21,25,Poly4,0.04325142857153629,0,0,0
21,22,26,Poly4,0.027205714285756265,0,0,0
22,23,27,Poly4,0.25440571428561237,0,0,0
23,24,28,Poly4,0.07623000000085085,0,0,0
24,25,29,Poly4,0.024515714285726874,0,0,0
25,26,30,Poly4,0.07491571428578918,0,0,0
26,27,31,Poly4,0.023041428571513436,0,0,0
27,28,32,Poly4,0.00032142857145171875,0,0,0
28,29,33,Poly4,0.026035714285555296,0,0,0
29,30,34,Poly4,0.05544142857146241,0,0,0
30,31,35,Poly4,0.0049728571428050575,0,0,0
31,32,36,Poly4,9.142857146344207e-05,0,0,0
32,33,37,Poly4,0.021612857142752694,0,0,0
33,34,38,Poly4,0.0468014285714583,0,0,0
34,35,39,Poly4,0.05321285714292125,0,0,0
35,36,40,Poly4,0.05157142857151833,0,0,0
36,37,41,Poly4,0.0020628571431589612,0,0,0
37,38,42,Poly4,0.02880571428546565,0,0,0
38,39,43,Poly4,0.03087000000048274,0,0,0
