,ErrorExpo,ErrorLn,ErrorPoly,ErrorSin,MAD_FinalFunc,MAPE_FinalFunc,MSE_FinalFunc,iend,istart,optimalMAD,optimalMAPE,optimalMSE
0,1,0,0,0,Ln,Sin,Sin,10,1,0.10789935565585204,0.03282380193762901,0.781843030303032
1,1,0,0,0,Ln,Sin,Sin,11,2,0.04747930737247784,0.02705258233999234,0.6505846969696972
2,0,0,0,0,Ln,Sin,Sin,12,3,0.029051814832111906,0.02488016922883602,0.6023846969696953
3,0,0,0,0,Ln,Sin,Sin,13,4,0.0262686740300396,0.01332784144913852,0.3215987878787877
4,0,0,0,0,Ln,Expo,Expo,14,5,0.03284240270674556,0.009181230029703832,0.21493212121211944
5,0,0,0,0,Ln,Expo,Expo,15,6,0.01838646712534092,0.009713120042777535,0.22719075757575574
6,0,0,0,0,Ln,Expo,Expo,16,7,0.005728225751040049,0.005862249789276948,0.13420848484848394
7,0,0,0,0,Ln,Ln,Ln,17,8,0.0057053110370739995,0.005832388736893784,0.1336266666666674
8,0,0,0,0,Ln,Sin,Sin,18,9,0.010967582781476285,0.009211420345748723,0.21034606060606137
9,0,0,0,0,Ln,Sin,Sin,19,10,0.021255124410816062,0.014118310689269298,0.322663484848485
10,0,0,0,0,Ln,Sin,Sin,20,11,0.02377169201113833,0.012217889810837466,0.2800853030303011
11,0,0,0,0,Ln,Sin,Sin,21,12,0.024652603944184746,0.020538198825052,0.4733701515151515
12,0,0,0,0,Ln,Sin,Sin,22,13,0.029562642674200203,0.029002987596555906,0.6665483333333387
13,0,0,0,0,Ln,Sin,Sin,23,14,0.03217420191194275,0.026321549638081122,0.6041543939393933
14,0,0,0,0,Ln,Poly,Poly,24,15,0.06838104259799783,0.022617124893774994,0.515081666666667
15,1,0,0,1,Ln,Poly,Poly,25,16,0.16801103482821622,0.016558714469780626,0.3712642424242341
16,1,0,0,0,Ln,Sin,Sin,26,17,0.1336558748049003,0.04606078357251768,0.9860466666666736
17,0,0,0,0,Ln,Poly,Poly,27,18,0.07746585361276274,0.06145826149309282,1.3126412121212099
18,0,0,0,0,Ln,Poly,Poly,28,19,0.04843698543664458,0.04694367244378686,0.9973733333333339
19,0,0,0,0,Ln,Poly,Poly,29,20,0.048279571964306094,0.04602874222226804,0.9822406060606049
20,0,0,0,0,Ln,Sin,Sin,30,21,0.054269907466156085,0.043912043194627014,0.9395762121212134
21,0,0,0,1,Ln,Poly,Poly,31,22,0.06655414966854153,0.038793348423926906,0.8247921212121225
22,0,0,0,0,Ln,Poly,Poly,32,23,0.09444974104524699,0.035745286574777914,0.749364242424241
23,0,0,0,1,Ln,Poly,Poly,33,24,0.05135063314322822,0.0351118274339594,0.7346539393939341
24,0,0,0,0,Ln,Sin,Sin,34,25,0.03427227258209908,0.03399643548574296,0.7078466666666697
25,0,0,0,0,Ln,Sin,Sin,35,26,0.03432333262097691,0.03404486236913975,0.7048406060606062
26,0,0,0,0,Ln,Sin,Sin,36,27,0.03274262138569479,0.030790331897928725,0.6373012121212112
27,0,0,0,0,Ln,Sin,Sin,37,28,0.030804120488592525,0.01804309874011332,0.36923393939394245
28,0,0,0,0,Ln,Sin,Sin,38,29,0.025789465747201156,0.023323436683848352,0.4777616666666679
29,0,0,0,0,Ln,Poly,Poly,39,30,0.025899014081363265,0.023271263628534364,0.47571318181818023
30,0,0,0,0,Ln,Poly,Poly,40,31,0.022877906071514253,0.021345460240368364,0.4328199999999992
31,0,0,0,0,Ln,Poly,Poly,41,32,0.02050457815150058,0.01853536619715946,0.3671939393939359
32,0,0,0,0,Ln,Poly,Poly,42,33,0.01802762074161835,0.016933489171097514,0.33287196969696864
33,0,0,0,0,Ln,Sin,Sin,43,34,0.02092190564915488,0.018443352665699998,0.3610406060606043
34,0,0,0,0,Ln,Sin,Sin,44,35,0.020799146683553465,0.0190999256029916,0.3732539393939357
35,0,0,0,0,Ln,Poly,Poly,45,36,0.03014765010670361,0.03012461975469829,0.579088939393941
36,0,0,0,0,Ln,Sin,Sin,46,37,0.030466317810027028,0.030477190829863943,0.5838139393939387
37,0,0,0,0,Ln,Sin,Sin,47,38,0.03947096804828359,0.036067632545662434,0.6879109090909099
38,0,0,0,0,Ln,Sin,Sin,48,39,0.038224396342590075,0.03509105089046277,0.6655034848484866
39,0,0,0,0,Ln,Sin,Sin,49,40,0.03834663942497628,0.038098963353839554,0.7228089393939375
40,0,0,0,0,Ln,Sin,Sin,50,41,0.044963167581083575,0.032229366106886474,0.6126436363636346
41,0,0,0,1,Ln,Poly,Poly,51,42,0.06461138822384534,0.03102455248073706,0.590498181818196
42,0,0,0,0,Ln,Sin,Sin,52,43,0.05819268562083688,0.040624032225720384,0.7784634848484887
43,0,0,0,0,Ln,Sin,Sin,53,44,0.041415329804441285,0.04104239085554974,0.790231515151518
44,0,0,0,0,Ln,Sin,Sin,54,45,0.0633786459029148,0.02851214022180267,0.5507666666666681
45,0,0,0,0,Ln,Sin,Sin,55,46,0.06633492914524675,0.028542167077084218,0.5512780303030238
46,0,0,0,0,Ln,Poly,Poly,56,47,0.05658148396376965,0.03428980514960099,0.6614587878787888
47,0,0,0,0,Ln,Sin,Sin,57,48,0.05755081950822048,0.034195242185125874,0.660144848484822
48,0,0,0,0,Ln,Poly,Poly,58,49,0.054681758775514455,0.038444169861057434,0.7429866666666484
49,0,0,0,0,Ln,Poly,Poly,59,50,0.01940196475674145,0.01868279276707952,0.36351924242424327
50,0,0,0,0,Ln,Poly,Poly,60,51,0.013607408747369463,0.008129556485052817,0.1520624242424312
51,0,0,0,0,Ln,Poly,Poly,61,52,0.009486528053590734,0.009050759324906421,0.16960424242423952
52,0,0,0,0,Ln,Poly,Poly,62,53,0.02315153295369036,0.015872535700628153,0.29281878787879095
53,0,0,0,0,Ln,Poly,Poly,63,54,0.026199095299442525,0.0091209455379034,0.16388303030302442
54,0,0,0,0,Ln,Poly,Poly,64,55,0.024887752354079556,0.009754871327839735,0.17396530303030427
55,0,0,0,0,Ln,Poly,Poly,65,56,0.016943155797219292,0.015494812359166124,0.2737192424242443
56,0,0,0,0,Ln,Sin,Sin,66,57,0.022616935025236602,0.021725899121685217,0.38537742424242527
57,0,0,0,0,Ln,Sin,Sin,67,58,0.04146512204473344,0.016559964396599722,0.29562242424241114
58,0,0,0,0,Ln,Poly,Poly,68,59,0.07463467187989563,0.006717890672776615,0.11923439393937645
59,0,0,0,0,Ln,Sin,Sin,69,60,0.07525924719847539,0.007094788858732252,0.12449939393939416
60,0,0,0,0,Ln,Sin,Sin,70,61,0.05565658812431412,0.016644741211954438,0.29092606060606035
61,0,0,0,0,Ln,Sin,Sin,71,62,0.022144424906648863,0.020971210504752955,0.3622937878787892
62,0,0,0,0,Ln,Sin,Sin,72,63,0.029756960968025447,0.023842539739749386,0.4110551515151621
63,0,0,0,0,Ln,Sin,Sin,73,64,0.028809024416160216,0.012642444614482277,0.2175284848484897
64,0,0,0,0,Ln,Sin,Sin,74,65,0.031942341818382305,0.02980230435246829,0.5168816666666752
65,0,0,0,0,Ln,Sin,Sin,75,66,0.03201272386854397,0.03175590006769395,0.5492101515151561
66,0,0,0,0,Ln,Sin,Sin,76,67,0.028616156830898583,0.0265613543430818,0.46132424242424774
67,0,0,0,0,Ln,Sin,Sin,77,68,0.03128273207867614,0.02021021758774441,0.35229015151517395
68,0,0,0,0,Ln,Sin,Sin,78,69,0.035224590071325154,0.019548313116917317,0.3410315151515293
69,0,0,0,0,Ln,Poly,Poly,79,70,0.025319244989170958,0.022147760072843567,0.3866460606060588
70,0,0,0,0,Ln,Poly,Poly,80,71,0.0157094047116413,0.01562553418200736,0.27391560606060517
71,0,0,0,0,Ln,Poly,Poly,81,72,0.014178770283821068,0.01344474263822421,0.23742833333333468
72,0,0,0,0,Ln,Poly,Poly,82,73,0.012007714032826893,0.011921383911503788,0.2109483333333319
73,0,0,0,0,Ln,Sin,Sin,83,74,0.026956473642863722,0.022541914148501645,0.401082424242417
74,0,0,0,0,Ln,Sin,Sin,84,75,0.03555872177030106,0.01633614438473662,0.2911987878787615
75,0,0,0,0,Ln,Sin,Sin,85,76,0.0373310637426521,0.013010181697777776,0.2322283333333445
76,0,0,0,0,Ln,Sin,Sin,86,77,0.0226262083885492,0.016264333782161192,0.29118469696969485
77,0,0,0,0,Ln,Sin,Sin,87,78,0.028163198938738483,0.026314769625080704,0.47551333333332674
78,0,0,0,0,Ln,Sin,Sin,88,79,0.04600624824855854,0.02834661773446819,0.5122610606060328
79,0,0,0,1,Ln,Poly,Poly,89,80,0.102138945591512,0.013912370429958215,0.25487696969701734
80,0,0,0,0,Ln,Sin,Sin,90,81,0.10093224909910807,0.015226081063583802,0.287628484848495
81,0,0,0,0,Ln,Sin,Sin,91,82,0.07185141436572542,0.04809429747323699,0.907870909091
82,0,0,0,0,Ln,Poly,Poly,92,83,0.03468517994348407,0.03467372816612695,0.6532339393939417
83,0,0,0,0,Ln,Poly,Poly,93,84,0.030670293334512627,0.0284197227911016,0.5366642424242234
84,0,0,0,1,Ln,Poly,Poly,94,85,0.03073953536668516,0.02401759573173701,0.45826606060604985
85,0,0,0,0,Ln,Poly,Poly,95,86,0.0384799174174161,0.021353382519063928,0.41219560606063227
86,0,0,0,0,Ln,Poly,Poly,96,87,0.033772498511822076,0.020542701686977475,0.3966428787878599
87,0,0,0,0,Ln,Poly,Poly,97,88,0.02413636902337828,0.021447240695346585,0.41441378787879524
